Ano;Países;Código ISIC Classe;Descrição ISIC Classe;Valor US$ FOB;chave;atividade_cod;atividade_desc;cnae2_4cod;cnae2_cod;isic4_sec;isic4_cod; isic4_desc;cnae2_desc;brl_usd;Valor RS$ FOB
2012;Estados Unidos;0128;Cultivo de especiarias, culturas aromáticas, medicamentosas e farmacêuticas;67995731;012;0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0111;011;A;012;Cultivo de plantas perennes;Produção de lavouras temporárias;1.9546;132904455.81259999
2012;Estados Unidos;2821;Fabricação de maquinaria agrícola e florestal;67635137;28;2800;Fabricação de máquinas e equipamentos mecânicos;2811;28;C;28;FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;1.9546;132199638.78019999
2012;Estados Unidos;1020;Processamento e conservação de peixes, crustáceos e moluscos;61264143;102;1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1020;102;C;102;Elaboración y conservación de pescado, crustáceos y moluscos;Preservação do pescado e fabricação de produtos do pescado;1.9546;119746893.90779999
2012;Estados Unidos;3250;Fabricação de instrumentos e suprimentos médicos e odontológicos;58866704;32;3180;Fabricação de móveis e de produtos de indústrias diversas;3211;32;C;32;OTRAS INDUSTRIAS MANUFACTURERAS;FABRICAÇÃO DE PRODUTOS DIVERSOS;1.9546;115060859.63839999
2012;Estados Unidos;2790;Fabricação de outro equipamento elétrico;56660758;27;2700;Fabricação de máquinas e equipamentos elétricos;2710;27;C;27;FABRICACIÓN DE EQUIPO ELÉCTRICO;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;1.9546;110749117.5868
2012;Estados Unidos;2620;Fabricação de computadores e equipamentos periféricos;55277957;26;2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2610;26;C;26;FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, DE ELECTRÓNICA Y DE ÓPTICA;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;1.9546;108046294.75219999
2012;Estados Unidos;0710;Extração de minério de ferro;54668915;071;0791;Extração de minério de ferro, inclusive beneficiamento e a aglomeração;0710;071;B;071;Extracción de minerales de hierro;Extração de minério de ferro;1.9546;106855861.25899999
2012;Estados Unidos;1040;Fabricação de óleos e gorduras vegetais e animais;49519903;104;1093;Outros produtos alimentares;1041;104;C;104;Elaboración de aceites y grasas de origen vegetal y animal;Fabricação de óleos e gorduras vegetais e animais;1.9546;96791602.4038
2012;Estados Unidos;3290;Outras manufaturas n.c.;48958198;32;3180;Fabricação de móveis e de produtos de indústrias diversas;3211;32;C;32;OTRAS INDUSTRIAS MANUFACTURERAS;FABRICAÇÃO DE PRODUTOS DIVERSOS;1.9546;95693693.8108
2012;Estados Unidos;0810;Extração de pedra, areia e argila;46296154;08;0580;Extração de carvão mineral e de minerais não metálicos;0810;08;B;08;EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS;1.9546;90490462.6084
2012;Estados Unidos;1629;"Fabricação de outros produtos de madeira; fabricação de artigos de cortiça, de espartaria e cestaria";42739544;16;1500;Fabricação de calçados e de artefatos de couro;1510;15;C;16;"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES";PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;1.9546;83538712.7024
2012;Estados Unidos;0899;Outras atividades de mineração n.c;40979773;08;0580;Extração de carvão mineral e de minerais não metálicos;0810;08;B;08;EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS;1.9546;80099064.30579999
2012;Estados Unidos;1621;Fabricação de folheados e painéis derivados de madeira;40593249;16;1500;Fabricação de calçados e de artefatos de couro;1510;15;C;16;"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES";PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;1.9546;79343564.4954
2012;Estados Unidos;1394;Fabricação de cordéis, cordas, cordéis e redes;40036415;13;1300;Fabricação de produtos têxteis;1311;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS;1.9546;78255176.75899999
2012;Estados Unidos;2392;Fabricação de materiais de construção de argila;35795010;23;2300;Fabricação de produtos de minerais não metálicos;2311;23;C;23;FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;1.9546;69964926.54599999
2012;Estados Unidos;0149;Criação de outros animais;35549234;014;0192;Pecuária, inclusive o apoio à pecuária;0151;015;A;014;Ganadería;Pecuária;1.9546;69484532.7764
2012;Estados Unidos;2610;Fabricação de componentes eletrônicos e placas;33409584;26;2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2610;26;C;26;FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, DE ELECTRÓNICA Y DE ÓPTICA;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;1.9546;65302372.8864
2012;Estados Unidos;2512;Fabricação de tanques, reservatórios e recipientes de metal;32759630;25;2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2511;25;C;25;FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS;1.9546;64031972.79799999
2012;Estados Unidos;0113;Cultivo de hortaliças e melões, raízes e tubérculos;29315623;011;0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0111;011;A;011;Cultivo de plantas no perenes;Produção de lavouras temporárias;1.9546;57300316.715799995
2012;Estados Unidos;1709;Fabricação de outros artigos de papel e cartão;29312718;17;1700;Fabricação de celulose, papel e produtos de papel;1710;17;C;17;FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;1.9546;57294638.6028
2012;Estados Unidos;2811;Fabricação de motores e turbinas, exceto aeronaves, veículos e motores de ciclo;27821082;28;2800;Fabricação de máquinas e equipamentos mecânicos;2811;28;C;28;FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;1.9546;54379086.8772
2012;Estados Unidos;2732;Fabricação de outros fios e cabos elétricos e eletrônicos;24929120;27;2700;Fabricação de máquinas e equipamentos elétricos;2710;27;C;27;FABRICACIÓN DE EQUIPO ELÉCTRICO;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;1.9546;48726457.952
2012;Estados Unidos;1071;Fabricação de produtos de panificação;24691121;107;1092;Fabricação e refino de açúcar;1071;107;C;107;Elaboración de otros productos alimenticios;Fabricação e refino de açúcar;1.9546;48261265.106599994
2012;Estados Unidos;9000;Atividades criativas, artes e entretenimento;23608482;90;9080;Atividades artísticas, criativas e de espetáculos;9001;90;R;90;ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS;1.9546;46145138.9172
